"Guild","b1_mean","b1_sd","b1_lo","b1_hi","b1_covered","range_mean","range_lo","range_hi","range_covered","sigma_mean","sigma_lo","sigma_hi","sigma_covered","WAIC_cov","WAIC_null","Delta_WAIC","logCPO"
"Cave",-2.01332451559255,0.289083268160922,-2.57991730972109,-1.44673172146401,TRUE,2.61750648302342,1.35958260958069,4.14853256732414,TRUE,0.994142586893831,1.16601141057054,2.03679467971716,TRUE,-470.229162174645,-463.031593468762,7.19756870588344,231.994046932717
"Cave",-1.92378865492149,0.283623070890399,-2.47967965905132,-1.36789765079166,TRUE,2.78158540578226,1.50591421500212,4.29947969003861,FALSE,1.03305085066956,1.22715696428864,2.07351867366528,TRUE,-382.395373755784,-374.300578408244,8.09479534753939,188.520569997107
"Cave",-2.25305353239432,0.274053291246229,-2.79018811308159,-1.71591895170704,TRUE,2.21120016843316,1.16227183081412,3.4796781374025,TRUE,0.787452839929415,1.07808711652358,1.86538954039163,TRUE,-304.2006664334,-298.098131411135,6.10253502226499,151.027078191374
"Cave",-1.97006686417639,0.255805173974446,-2.47143579222531,-1.46869793612748,TRUE,2.78643884930604,1.47398888585146,4.38273126151476,TRUE,0.848582955791884,1.21407943967908,2.09349737556911,TRUE,-749.709478357648,-743.633646692694,6.07583166495328,373.156125686743
"Cave",-2.35405840078796,0.264778724793713,-2.87301516525608,-1.83510163631984,TRUE,5.75589899920556,1.97223078737685,11.0610297903726,FALSE,0.968110424727918,1.40436134501661,3.32581265112342,TRUE,-584.000962190302,-537.175747722051,46.8252144682507,291.654978597669
"Cave",-1.83175175719378,0.266214898136698,-2.3535233696897,-1.30998014469785,TRUE,4.10135196286679,1.65742134276263,7.32383310561587,FALSE,1.01057113734062,1.28740877065625,2.706258137284,TRUE,-361.230168737612,-345.812886569944,15.4172821676678,180.289939561647
"Cave",-1.9929095078645,0.250239608980247,-2.48337012897117,-1.50244888675783,TRUE,3.11717720966145,1.24722778362567,5.55240294636604,TRUE,0.819141376840466,1.11679352775062,2.35635373965074,TRUE,-168.491139765703,-145.470397979653,23.0207417860495,84.0366107161495
"Cave",-1.63569782278212,0.312553895796529,-2.248292201771,-1.02310344379324,TRUE,4.33339203233388,1.75331683914332,7.6982632626031,FALSE,1.15805027693845,1.32412870943248,2.77457442909775,TRUE,-80.0913679594813,-72.7917045617447,7.29966339773665,39.8714497907183
"Cave",-2.16090178138213,0.23519026295398,-2.62186622628643,-1.69993733647782,TRUE,2.8778928599855,0.999325764577064,5.42637429876181,TRUE,0.619886197987402,0.999662825445192,2.32945794097292,FALSE,-147.479198599805,-116.664522241136,30.814676358669,73.637016798113
"Cave",-2.37308122390891,0.264544717454432,-2.89157934241992,-1.8545831053979,TRUE,2.06623966739327,1.17722328794087,3.1106559955385,TRUE,0.838370484244122,1.08499921103237,1.76370518951964,TRUE,-694.219088355015,-679.755842345393,14.4632460096211,336.951010611489
