"Guild","b1_mean","b1_sd","b1_lo","b1_hi","b1_covered","range_mean","range_lo","range_hi","range_covered","sigma_mean","sigma_lo","sigma_hi","sigma_covered","WAIC_cov","WAIC_null","Delta_WAIC","logCPO"
"Water",-2.07068652482449,0.343898850326745,-2.74471588578964,-1.39665716385934,TRUE,5.23138522694084,1.5850191959566,10.2373171835388,TRUE,1.16544564131562,1.25897545486662,3.19958078246804,TRUE,-207.424597014709,-193.113113910249,14.3114831044601,103.603971307577
"Water",-1.64590795848317,0.254784419206605,-2.14527624395007,-1.14653967301627,TRUE,3.5388241163665,1.59509630049967,6.02240463908704,TRUE,0.774556074356095,1.26297121918897,2.45405880921526,TRUE,-487.820724479048,-481.041616896338,6.77910758270946,243.489236718007
"Water",-2.10057425290923,0.281269320422998,-2.65185199089436,-1.54929651492409,FALSE,4.21545546591319,1.65708794319867,7.57451541868173,TRUE,0.797710828513585,1.28727927941013,2.75218375452689,TRUE,-441.54941852073,-427.787514235491,13.7619042852392,220.662680329235
"Water",-1.27740925940735,0.241112986598331,-1.74998202934497,-0.804836489469732,TRUE,4.97407861692732,2.01980716642561,8.88063691391685,FALSE,0.78450830065666,1.42119920012137,2.98003975039207,TRUE,-563.567298894956,-558.898728796405,4.66857009855107,281.655086048076
"Water",-1.53408802025146,0.25673742024632,-2.03728411741797,-1.03089192308495,TRUE,3.69208463955491,1.87596432614963,5.90788276945033,TRUE,0.88474511017703,1.36965847062311,2.43061366108444,TRUE,-841.231239482767,-836.412480545942,4.81875893682525,419.784493030431
"Water",-1.61430138358018,0.247588263212511,-2.09956546247153,-1.12903730468884,TRUE,3.75915712199793,1.70927686459809,6.34256148920922,TRUE,0.78666717566343,1.30739315609272,2.51844425969868,TRUE,-659.615703825982,-650.700507602684,8.91519622329793,329.468909298262
"Water",-1.27741733773592,0.292594703067471,-1.85089241781536,-0.703942257656489,TRUE,4.49854807950015,1.90196201398307,7.82859582602215,TRUE,0.995340270925742,1.3791163888458,2.7979627992563,TRUE,-283.428076263888,-286.478778372677,-3.05070210878898,141.578917931916
"Water",-1.90384271781957,0.237830589819657,-2.36998210828802,-1.43770332735112,TRUE,2.5043751978287,1.12370569478188,4.22948384724318,TRUE,0.673943714466669,1.06004985485678,2.05657089526308,TRUE,-372.856124357626,-370.081559382807,2.77456497481961,186.186513936861
"Water",-1.42025338480054,0.285202615212384,-1.97924023891345,-0.861266530687636,TRUE,4.01397928625048,1.67534181875857,7.02203331397189,TRUE,0.979007346279505,1.29434995992528,2.64991194456946,TRUE,-398.84089406546,-399.734707474106,-0.893813408646736,199.164076380707
"Water",-2.01340360907473,0.296721545988126,-2.5949671526485,-1.43184006550096,TRUE,4.49472632561045,1.96438450194699,7.72185773144838,TRUE,0.87985024285329,1.40156501880826,2.77882308386993,TRUE,-732.329721514963,-723.688618605452,8.64110290951078,365.905548681671
