"rep","config","strategy","int_strat","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
1,"Gaussian","gaussian","eb",292,5.75,-1.58851788308863,0.267712285143806,-2.11322432018941,-1.06381144598785,5.53260049541827,1.84966329607103,10.6184421484353,0.854284005733466,0.3799457387854,1.26837544380665
1,"Simplified Laplace","simplified.laplace","eb",292,4.13000000000011,-1.58851788829202,0.267712304987108,-2.11322436428496,-1.06381141229909,5.53260055402833,1.8496634250792,10.618444416889,0.854284087787724,0.379945880380937,1.26837549818556
1,"Full Laplace, eb (main)","laplace","eb",292,4.14999999999964,-1.58851788829202,0.267712304987108,-2.11322436428496,-1.06381141229909,5.53260055402833,1.8496634250792,10.618444416889,0.854284087787724,0.379945880380937,1.26837549818556
1,"Full Laplace, grid","laplace","grid",292,5.17000000000007,-1.59389057449222,0.277891758298166,-2.15986837927784,-1.05925844435005,5.53260055402833,1.8496634250792,10.618444416889,0.854284087787724,0.379945880380937,1.26837549818556
2,"Gaussian","gaussian","eb",209,4.14000000000033,-1.39273700684145,0.212658158619236,-1.80953933875376,-0.975934674929146,2.71642634459853,1.09366595444198,4.80648489937059,0.622103711410445,0.324813633487139,0.865906428142361
2,"Simplified Laplace","simplified.laplace","eb",209,4.42000000000007,-1.39273700907297,0.212658158776069,-1.80953934129267,-0.975934676853279,2.71642443558496,1.09366850166519,4.80647527382271,0.622103607395519,0.324813879092491,0.8659060388182
2,"Full Laplace, eb (main)","laplace","eb",209,4.13000000000011,-1.39273700907297,0.212658158776069,-1.80953934129267,-0.975934676853279,2.71642443558496,1.09366850166519,4.80647527382271,0.622103607395519,0.324813879092491,0.8659060388182
2,"Full Laplace, grid","laplace","grid",209,5.07999999999993,-1.40613760755597,0.236652224668398,-1.91449322902365,-0.975335511657009,2.71642634459853,1.09366595444198,4.80648489937059,0.622103711410445,0.324813633487139,0.865906428142361
3,"Gaussian","gaussian","eb",255,4.51999999999953,-1.61296433796261,0.279346917518508,-2.16047423549117,-1.06545444043405,3.66542954486625,1.7907369087491,5.97405580852435,0.852270943239588,0.506262653246815,1.14631561475465
3,"Simplified Laplace","simplified.laplace","eb",255,4.34000000000015,-1.61296433796261,0.279346917518508,-2.16047423549117,-1.06545444043405,3.66542954486625,1.7907369087491,5.97405580852435,0.852270943239588,0.506262653246815,1.14631561475465
3,"Full Laplace, eb (main)","laplace","eb",255,4.61000000000058,-1.61296431796194,0.279346907089401,-2.16047419504982,-1.06545444087406,3.66542872810523,1.79073834374512,5.97405125089023,0.852270883559712,0.506262718584842,1.1463154712862
3,"Full Laplace, grid","laplace","grid",255,5.49000000000069,-1.62403214079672,0.299802683981944,-2.24714637066402,-1.062300079397,3.66542838481883,1.79073819594496,5.97404996364563,0.852270924054431,0.506262707058716,1.14631546829866
4,"Gaussian","gaussian","eb",272,3.97000000000025,-1.67200970181556,0.27336100463172,-2.20778742567142,-1.1362319779597,5.17510935830117,1.63117652651162,10.2991401875948,0.877977784293322,0.402909171514178,1.30213966929883
4,"Simplified Laplace","simplified.laplace","eb",272,4.00999999999931,-1.67201003317456,0.273361338995463,-2.20778841237131,-1.13623165397781,5.17512181263081,1.63116382905975,10.2991948192865,0.877979282191845,0.402907958024382,1.30214301670945
4,"Full Laplace, eb (main)","laplace","eb",272,3.97000000000025,-1.67200988707872,0.273361349871734,-2.20778828759257,-1.13623148656487,5.17511629919365,1.6311677327425,10.2991733724492,0.877978901429134,0.402908606426409,1.30214165685324
4,"Full Laplace, grid","laplace","grid",272,4.74000000000069,-1.72076891680455,0.300262408219545,-2.35071933682243,-1.157911769029,5.17512181263081,1.63116382905975,10.2991948192865,0.877979282191845,0.402907958024382,1.30214301670945
5,"Gaussian","gaussian","eb",202,4.29999999999927,-1.03867586645164,0.13837947042947,-1.30989464469312,-0.767457088210152,2.03695683857056,0.656782176445253,3.85062514680573,0.352719348319954,0.106870664739694,0.533713235371645
5,"Simplified Laplace","simplified.laplace","eb",202,4.3100000000004,-1.03867585703283,0.138379467839984,-1.30989463019901,-0.76745708386664,2.03695750147794,0.656781702369849,3.85062828557658,0.352719246615492,0.106870493292829,0.533713113283337
5,"Full Laplace, eb (main)","laplace","eb",202,3.94999999999982,-1.03867585953306,0.138379470981269,-1.30989463885605,-0.767457080210063,2.03695751361785,0.656781337765521,3.85062882943892,0.352719312583091,0.106870460498087,0.533713277881034
5,"Full Laplace, grid","laplace","grid",202,5.11000000000058,-1.05854697739394,0.149698111715014,-1.37505909381519,-0.780187090422189,2.03695657343446,0.656782523541155,3.8506233016755,0.352719338585407,0.106870802785722,0.533713044643417
6,"Gaussian","gaussian","eb",385,4.32999999999993,-1.46687459931915,0.207328096341838,-1.87323020113241,-1.0605189975059,3.64657056896456,1.51251826829541,6.39655098198292,0.623376160354867,0.352724632282955,0.854482844435009
6,"Simplified Laplace","simplified.laplace","eb",385,4.30999999999949,-1.46687453795698,0.207328140191944,-1.87323022571486,-1.0605188501991,3.64657081293849,1.51251736597389,6.39655068193834,0.623376204328369,0.352724474159074,0.854483014192022
6,"Full Laplace, eb (main)","laplace","eb",385,4.28999999999996,-1.46687440552198,0.207327890503395,-1.8732296038993,-1.06051920714466,3.64656749979508,1.51252420974848,6.39653459917468,0.623375601244767,0.352725093015544,0.854481696190444
6,"Full Laplace, grid","laplace","grid",385,5.11999999999989,-1.45099319894989,0.220917622646194,-1.89070973639405,-1.01435271278375,3.64656749979508,1.51252420974848,6.39653459917468,0.623375601244767,0.352725093015544,0.854481696190444
7,"Gaussian","gaussian","eb",268,4.22000000000025,-1.80287630217164,0.263868055322557,-2.32004818727447,-1.2857044170688,4.54591649361725,1.38001998598799,9.01781655381994,0.848213901107158,0.342101008906707,1.29295227263326
7,"Simplified Laplace","simplified.laplace","eb",268,4.35999999999967,-1.80287706940842,0.263868298123855,-2.32004943039305,-1.28570470842378,4.54606291504537,1.37986490122227,9.01855554572998,0.848224147745086,0.34208781251568,1.2929840102808
7,"Full Laplace, eb (main)","laplace","eb",268,4.04999999999927,-1.80287230998793,0.263867069351241,-2.3200422626225,-1.28570235735336,4.54595208152793,1.37998653254936,9.01801312674487,0.848214059883481,0.342100583882138,1.29295487580778
7,"Full Laplace, grid","laplace","grid",268,5.13000000000011,-1.8482295494371,0.36200037310946,-2.68355514751449,-1.25363265831512,4.54593719659025,1.37999362106818,9.01793060384193,0.848215359284687,0.342099707594964,1.29295582939454
