"rep","mesh_cfg","mesh_n","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
9,"Standard (main study)",2340,354,4.44000000000051,-2.87944964108538,0.393695744205385,-3.65107912059463,-2.10782016157614,3.62353236688898,1.90550818956708,5.71270323530616,1.42891757426497,0.787614337659035,2.00016860304827
9,"Fine + extended boundary",9230,354,20.1999999999998,-2.70132160093039,0.398685117795565,-3.48273007298181,-1.91991312887897,2.90042146085353,1.61361380187973,4.44389042691493,1.40932900376567,0.857255990739868,1.90280217793681
10,"Coarse",621,157,1.46000000000004,-1.79601153683502,0.245782592210449,-2.2777365655944,-1.31428650807565,4.50026806602314,1.48678611936949,8.5773413362414,0.730079476783281,0.314209430396339,1.07151173880257
10,"Standard (main study)",2340,157,4.15999999999985,-1.75291195687983,0.25901271221627,-2.26056754436175,-1.2452563693979,2.99505366586766,1.21558413220668,5.2823146983007,0.793613083043214,0.414589271770757,1.10352407871717
10,"Fine + extended boundary",9230,157,22.3800000000001,-1.71025147886893,0.262387179541622,-2.22452090077555,-1.1959820569623,2.18978609865374,0.954733340583331,3.74939380659947,0.858318408955094,0.501627682750777,1.14945284384585
11,"Coarse",621,209,1.76999999999953,-1.84563881494058,0.228221323408682,-2.29294438932567,-1.3983332405555,2.35846829389182,1.12456363961721,3.85815224042772,0.647503178975189,0.358321903159391,0.889015448844426
11,"Standard (main study)",2340,209,4.60999999999967,-1.83102085623374,0.248398650176671,-2.31787326438838,-1.3441684480791,2.00154951019231,1.08778552618963,3.07921119986787,0.796179320755714,0.481721433295226,1.0642055477969
11,"Fine + extended boundary",9230,209,24.6300000000001,-1.87074335166849,0.255900309568999,-2.37229874205638,-1.3691879612806,1.62980977059177,0.911930944400555,2.46959138623956,0.878097922043518,0.572152605867313,1.13927991032961
12,"Coarse",621,502,1.75,-2.62941991148577,0.265686702320622,-3.15015627920541,-2.10868354376614,5.89155779581597,2.43932399629619,10.3579096114168,1.15515742835661,0.475538241246666,1.75848559718499
12,"Standard (main study)",2340,502,3.88999999999942,-2.3441729852822,0.276564583689184,-2.88622960871232,-1.80211636185209,4.49527707714881,1.94719644299835,7.76794816007952,1.10776814242626,0.530643417369712,1.6203692505863
12,"Fine + extended boundary",9230,502,20.7200000000003,-2.29762292409732,0.285918234168379,-2.85801236559064,-1.73723348260401,3.47235938967737,1.50644025713811,6.00909213595467,1.07920710110955,0.580271579062713,1.52280626434315
13,"Coarse",621,236,1.76000000000022,-1.62447026510618,0.250678838782361,-2.11579176080593,-1.13314876940643,4.79184106746622,1.77867669631903,8.77183819603099,0.931268589591338,0.403288922750591,1.38899363519677
13,"Standard (main study)",2340,236,4,-1.63835483714514,0.264695401388351,-2.15714829073968,-1.1195613835506,3.33229531799391,1.41084243296751,5.78984454783214,0.958514808747897,0.513329000024231,1.34207635232147
13,"Fine + extended boundary",9230,236,22.1599999999999,-1.66682470984715,0.263612960748667,-2.18349661877251,-1.15015280092179,2.4724034272272,1.1459366727217,4.14882476802788,0.966400647606884,0.590479916147322,1.28988975674882
14,"Coarse",621,193,1.46000000000004,-1.96399761444429,0.22049631037516,-2.39616244150357,-1.53183278738501,3.43233088959869,0.763756567299689,7.61569110672189,0.558585709886538,0.259781803093884,0.801331185890146
